noise,outliers,doubles,density
-1,17,True,8
80,2,True,46
-2,34,True,70
5,0,True,8
0,15,False,1218
-2,31,False,345
34,14,False,9
0,305,False,406
64,0,True,0
-7,50,False,6
397,8,True,15
240,4,True,3
-1,15,True,75
10,1,True,10
91,2,True,51
0,148,False,230
-2,26,False,298
0,223,False,1104
0,81,False,417
-2,8,False,27
0,58,True,2026
-2,39,False,20
52,1,False,34
-4,7,False,13
0,559,False,788
0,477,False,15
0,71,False,182
-7,26,False,38
0,14,False,4
8,0,True,1
28,7,True,34
28,0,True,3
-8,70,False,113
-4,25,False,733
8,0,True,12
0,369,False,393
522,2,True,28
0,77,False,109
-1,8,False,151
-2,6,False,0
-1,15,False,6
15,1,False,30
-3,51,False,79
-1,10,False,13
-14,0,True,679
-1,20,False,43
29,4,False,0
0,106,False,308
30,0,True,0
0,15,False,2
-1,45,False,88
128,2,True,0
0,98,False,422
0,413,False,190
0,10,False,40
-1,27,False,5
3,0,True,1
13,12,False,41
0,106,False,858
-29,22,True,521
0,64,False,125
-12,123,False,181
-2,10,False,269
0,71,False,1346
0,246,False,303
152,3,True,3
49,0,True,4
0,140,False,20
0,10,True,3
50,4,False,10
0,385,False,0
37,0,True,12
112,0,True,5
40,0,True,1
-3,54,False,185
57,3,True,7
-7,48,False,13
0,54,True,2629
0,340,False,405
0,88,False,368
-4,8,False,25
0,8,True,1
38,0,True,2
-2,50,False,368
-5,4,True,371
-26,122,False,1227
-161,0,True,289
24,0,True,0
0,1,True,21
0,149,False,1886
0,417,False,0
0,222,False,219
48,0,True,2
0,64,False,29
784,7,True,77
-3,25,False,36
-72,44,True,843
0,11,False,63
-2,18,True,21
0,93,False,506
